Year Month Day xp yp
2024  1  1  0.136891  0.202185   
2024  1  2  0.134884  0.202555   
2024  1  3  0.133100  0.203087   
2024  1  4  0.131599  0.204005   
2024  1  5  0.130092  0.205151   
2024  1  6  0.127982  0.206114   
2024  1  7  0.125618  0.206430   
2024  1  8  0.123274  0.206673   
2024  1  9  0.121164  0.206577   
2024  1 10  0.119264  0.206304   
2024  1 11  0.117604  0.206426   
2024  1 12  0.115828  0.206711   
2024  1 13  0.114247  0.207015   
2024  1 14  0.113293  0.207801   
2024  1 15  0.112230  0.208968   
2024  1 16  0.111039  0.209806   
2024  1 17  0.109738  0.210727   
2024  1 18  0.107730  0.211883   
2024  1 19  0.105525  0.212867   
2024  1 20  0.102719  0.213982   
2024  1 21  0.099241  0.214561   
2024  1 22  0.095619  0.214903   
2024  1 23  0.092118  0.215266   
2024  1 24  0.088436  0.215341   
2024  1 25  0.084996  0.215407   
2024  1 26  0.081993  0.215783   
2024  1 27  0.079099  0.216536   
2024  1 28  0.076210  0.217141   
2024  1 29  0.073633  0.217538   
2024  1 30  0.070971  0.217905   
2024  1 31  0.068275  0.218383   
2024  2  1  0.065626  0.219247   
2024  2  2  0.062870  0.220786   
2024  2  3  0.060146  0.222625   
2024  2  4  0.057648  0.224309   
2024  2  5  0.055754  0.226062   
2024  2  6  0.053682  0.227842   
2024  2  7  0.052349  0.229305   
2024  2  8  0.051261  0.231130   
2024  2  9  0.049720  0.233106   
2024  2 10  0.048170  0.235304   
2024  2 11  0.047073  0.237217   
2024  2 12  0.046153  0.238850   
2024  2 13  0.044669  0.240687  
2024  2 14  0.042503  0.242204  
2024  2 15  0.040474  0.243185  
2024  2 16  0.038714  0.243975  
2024  2 17  0.037002  0.245197  
2024  2 18  0.035000  0.246695  
2024  2 19  0.032869  0.248249  
2024  2 20  0.030932  0.249762  
2024  2 21  0.028789  0.251542  
2024  2 22  0.026422  0.253190  
2024  2 23  0.024112  0.255378  
2024  2 24  0.021482  0.257688  
2024  2 25  0.018813  0.259582  
2024  2 26  0.016281  0.261583  
2024  2 27  0.013582  0.263697  
2024  2 28  0.010690  0.265700  
2024  2 29  0.007811  0.267837  
2024  3  1  0.005495  0.269851  
2024  3  2  0.004405  0.272308  
2024  3  3  0.003476  0.275458  
2024  3  4  0.002200  0.278275  
2024  3  5  0.000696  0.280532  
2024  3  6 -0.000734  0.282470  
2024  3  7 -0.001821  0.284186  
2024  3  8 -0.002742  0.286073  
2024  3  9 -0.003594  0.288361  
2024  3 10 -0.004622  0.290857  
2024  3 11 -0.006027  0.293418  
2024  3 12 -0.007242  0.295704  
2024  3 13 -0.007993  0.297902  
2024  3 14 -0.008494  0.299974  
2024  3 15 -0.009051  0.302217  
2024  3 16 -0.010146  0.304815  
2024  3 17 -0.011353  0.307152  
2024  3 18 -0.012435  0.309249  
2024  3 19 -0.013159  0.311376  
2024  3 20 -0.013499  0.313109  
2024  3 21 -0.012898  0.314738  
2024  3 22 -0.012047  0.316399  
2024  3 23 -0.011258  0.318618  
2024  3 24 -0.010807  0.321712  
2024  3 25 -0.010649  0.324766  
2024  3 26 -0.010995  0.327486  
2024  3 27 -0.011455  0.330152  
2024  3 28 -0.012243  0.332926  
2024  3 29 -0.012669  0.335166  
2024  3 30 -0.012684  0.337027  
2024  3 31 -0.012874  0.338954  
2024  4  1 -0.013324  0.340813  
2024  4  2 -0.013435  0.342453  
2024  4  3 -0.012656  0.344283  
2024  4  4 -0.011548  0.346436  
2024  4  5 -0.010421  0.348816  
2024  4  6 -0.009599  0.351284  
2024  4  7 -0.009179  0.353845  
2024  4  8 -0.009086  0.356409  
2024  4  9 -0.009249  0.358885  
2024  4 10 -0.008775  0.360748  
2024  4 11 -0.007990  0.362624  
2024  4 12 -0.007403  0.364460  
2024  4 13 -0.006909  0.366032  
2024  4 14 -0.006533  0.367607  
2024  4 15 -0.006043  0.369244  
2024  4 16 -0.005002  0.371329  
2024  4 17 -0.003722  0.373918  
2024  4 18 -0.002935  0.376672  
2024  4 19 -0.002409  0.379030  
2024  4 20 -0.002067  0.381542  
2024  4 21 -0.002233  0.384130  
2024  4 22 -0.002341  0.386386  
2024  4 23 -0.001814  0.388492  
2024  4 24 -0.000918  0.390679  
2024  4 25  0.000454  0.393148  
2024  4 26  0.001343  0.395867  
2024  4 27  0.001545  0.398199  
2024  4 28  0.001677  0.400407  
2024  4 29  0.002169  0.402065  
2024  4 30  0.002986  0.403431  
2024  5  1  0.004010  0.404767  
2024  5  2  0.005570  0.406384  
2024  5  3  0.007163  0.408206  
2024  5  4  0.009226  0.410184  
2024  5  5  0.010870  0.412161  
2024  5  6  0.011777  0.413866  
2024  5  7  0.012147  0.415307  
2024  5  8  0.012301  0.416337  
2024  5  9  0.012623  0.417373  
2024  5 10  0.012973  0.418728  
2024  5 11  0.013630  0.420293  
2024  5 12  0.014158  0.421887  
2024  5 13  0.014619  0.423380  
2024  5 14  0.015189  0.424764  
2024  5 15  0.015823  0.425929  
2024  5 16  0.016597  0.426643  
2024  5 17  0.017680  0.427869  
2024  5 18  0.018700  0.429096  
2024  5 19  0.020090  0.430159  
2024  5 20  0.021783  0.431251  
2024  5 21  0.023368  0.432552  
2024  5 22  0.024797  0.434024  
2024  5 23  0.026198  0.435719  
2024  5 24  0.026841  0.437556  
2024  5 25  0.026846  0.439096  
2024  5 26  0.027156  0.440424  
2024  5 27  0.028173  0.441865  
2024  5 28  0.029480  0.443848  
2024  5 29  0.030853  0.445789  
2024  5 30  0.032114  0.447688  
2024  5 31  0.033093  0.449271  
2024  6  1  0.033949  0.450726  
2024  6  2  0.034801  0.452436  
2024  6  3  0.035415  0.454449  
2024  6  4  0.035932  0.456327  
2024  6  5  0.036673  0.457834  
2024  6  6  0.037487  0.459138  
2024  6  7  0.038565  0.460373  
2024  6  8  0.039947  0.461678  
2024  6  9  0.041938  0.463044  
2024  6 10  0.043871  0.464460  
2024  6 11  0.045732  0.465323  
2024  6 12  0.047737  0.466087  
2024  6 13  0.049960  0.466673  
2024  6 14  0.051869  0.467738  
2024  6 15  0.053599  0.468958  
2024  6 16  0.055337  0.470153  
2024  6 17  0.057147  0.471082  
2024  6 18  0.058793  0.472026  
2024  6 19  0.060651  0.472655  
2024  6 20  0.062874  0.473258  
2024  6 21  0.065510  0.473730  
2024  6 22  0.068521  0.474266  
2024  6 23  0.071113  0.474962  
2024  6 24  0.073422  0.475615  
2024  6 25  0.075250  0.476283  
2024  6 26  0.077419  0.476809  
2024  6 27  0.079989  0.477316  
2024  6 28  0.082511  0.477875  
2024  6 29  0.085073  0.478255  
2024  6 30  0.087985  0.478787  
2024  7  1  0.090768  0.479056  
2024  7  2  0.093591  0.478899  
2024  7  3  0.096521  0.478959  
2024  7  4  0.099391  0.478430  
2024  7  5  0.102073  0.478153  
2024  7  6  0.104445  0.478142  
2024  7  7  0.106630  0.478271  
2024  7  8  0.108257  0.478138  
2024  7  9  0.109768  0.477735  
2024  7 10  0.111585  0.477264  
